"run","duration","date","roc_auc_score model=""GT"", outliers=""omiss"" ","roc_auc_score model=""GT"", outliers=""commiss"" ","roc_auc_score model=""CPPOD"", outliers=""omiss"" ","roc_auc_score model=""CPPOD"", outliers=""commiss"" ","hparams.use_context","hparams.use_personalisation","hparams.n_persons","hparams.nhid","experiment","roc_auc_score model=""LEN"", outliers=""commiss"" ","roc_auc_score model=""LEN"", outliers=""omiss"" ","roc_auc_score model=""RND"", outliers=""commiss"" ","roc_auc_score model=""RND"", outliers=""omiss"" ","hparams.context_intensity_pois_factors","hparams.context_intensity_pois_min","hparams.dt","hparams.n_test","hparams.n_train","hparams.non_regulator_outliers_prob","hparams.t_max"
"Run: 72892a17c6824f28af93abfa","1min 17sec","11:47:18 · 10 Sep, 23","0.76546733","0.74404626","0.74609058","0.71777157","True","True","70","64","default","0.54783632","0.63119798","0.50335476","0.4960774","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: be958b19025e4f4ab29daa24","1min 16sec","11:46:01 · 10 Sep, 23","0.7619377","0.74562151","0.74499127","0.73305348","True","True","60","64","default","0.56243886","0.64470863","0.50308128","0.51181819","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 1e004d75433943748aff96f0","1min 12sec","11:44:48 · 10 Sep, 23","0.76537985","0.76019662","0.75514839","0.74058597","True","True","50","64","default","0.56731874","0.64582222","0.49774264","0.50048386","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 6d8e4c857e6f42989cd6796a","54sec 467ms","11:43:54 · 10 Sep, 23","0.76255818","0.74590987","0.74776275","0.71268263","True","True","40","64","default","0.54695986","0.65229114","0.50656309","0.51001786","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 30e9ace9f7e34c58a30d257d","45sec 808ms","11:43:08 · 10 Sep, 23","0.77144123","0.74352582","0.75451394","0.71975645","True","True","30","64","default","0.55985178","0.66008901","0.50113522","0.49563157","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 16b0c84cbdc342fc8014c0ba","26sec 839ms","11:42:41 · 10 Sep, 23","0.75522159","0.759198","0.74312432","0.72845725","True","True","20","64","default","0.5836195","0.63875674","0.51295056","0.51414312","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: ab807a58d567480aabb05449","19sec 911ms","11:42:21 · 10 Sep, 23","0.76285472","0.72018529","0.74964031","0.69537029","True","True","10","64","default","0.57538208","0.65731913","0.50195326","0.52616329","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 2107287c85524b42b6a9ef06","9sec 794ms","11:42:11 · 10 Sep, 23","0.75694728","0.72100193","0.69579373","0.63934237","True","True","5","64","default","0.55260296","0.65887313","0.4985288","0.46964155","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 01b7367e72ab48e5a990f97f","7sec 230ms","11:42:03 · 10 Sep, 23","0.80422323","0.81317316","0.76446456","0.72941176","True","True","1","64","default","0.58885667","0.62696833","0.59942005","0.52361991","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 08b892f991ba4b46b60438fd","1min 31sec","11:40:32 · 10 Sep, 23","0.76546733","0.74404626","0.70307651","0.66019559","False","True","70","64","default","0.54783632","0.63119798","0.50335476","0.4960774","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 64d4f2b06c4d4d3799e49b87","1min 29sec","11:39:02 · 10 Sep, 23","0.7619377","0.74562151","0.70836282","0.68071415","False","True","60","64","default","0.56243886","0.64470863","0.50308128","0.51181819","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 5103bc6b50164020a9c3517c","53sec 709ms","11:38:08 · 10 Sep, 23","0.76537985","0.76019662","0.71237348","0.68012831","False","True","50","64","default","0.56731874","0.64582222","0.49774264","0.50048386","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: da5c4cf82a7e47f8b7a5432a","47sec 976ms","11:37:20 · 10 Sep, 23","0.76255818","0.74590987","0.71166949","0.66791322","False","True","40","64","default","0.54695986","0.65229114","0.50656309","0.51001786","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 57c199f253164ff98872a81c","40sec 497ms","11:36:39 · 10 Sep, 23","0.77144123","0.74352582","0.71335005","0.67317922","False","True","30","64","default","0.55985178","0.66008901","0.50113522","0.49563157","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: b068be33bee94a669d922bbd","33sec 127ms","11:36:06 · 10 Sep, 23","0.75522159","0.759198","0.7058426","0.67858048","False","True","20","64","default","0.5836195","0.63875674","0.51295056","0.51414312","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: c4fb9a1cb67045f08bf364d9","20sec 720ms","11:35:45 · 10 Sep, 23","0.76285472","0.72018529","0.71362993","0.6521167","False","True","10","64","default","0.57538208","0.65731913","0.50195326","0.52616329","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 5b014b72be4345ed88e8cf8e","10sec 94ms","11:35:35 · 10 Sep, 23","0.75694728","0.72100193","0.67478158","0.57718474","False","True","5","64","default","0.55260296","0.65887313","0.4985288","0.46964155","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: c200b49b4c4542ca8264484d","7sec 816ms","11:35:27 · 10 Sep, 23","0.80422323","0.81317316","0.70895928","0.63620547","False","True","1","64","default","0.58885667","0.62696833","0.59942005","0.52361991","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 2a0137fc20d54d88b42ce03c","1min 52sec","11:33:35 · 10 Sep, 23","0.76546733","0.74404626","0.74566085","0.71835551","True","False","70","64","default","0.54783632","0.63119798","0.50335476","0.4960774","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 4be7fed321004ae7b27b7c46","1min 40sec","11:31:54 · 10 Sep, 23","0.7619377","0.74562151","0.74522701","0.73027345","True","False","60","64","default","0.56243886","0.64470863","0.50308128","0.51181819","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 9412f96729f54e0b9cd99ef5","1min 25sec","11:30:28 · 10 Sep, 23","0.76537985","0.76019662","0.75539539","0.73974216","True","False","50","64","default","0.56731874","0.64582222","0.49774264","0.50048386","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: edbe17d8784b4be487ef4142","1min 1sec","11:29:27 · 10 Sep, 23","0.76255818","0.74590987","0.74745199","0.71490165","True","False","40","64","default","0.54695986","0.65229114","0.50656309","0.51001786","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 0acfc91da92a4318abce0419","54sec 582ms","11:28:32 · 10 Sep, 23","0.77144123","0.74352582","0.75378911","0.7226635","True","False","30","64","default","0.55985178","0.66008901","0.50113522","0.49563157","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: c065f98d72174edfafa987b8","32sec 288ms","11:28:00 · 10 Sep, 23","0.75522159","0.759198","0.74279294","0.72774875","True","False","20","64","default","0.5836195","0.63875674","0.51295056","0.51414312","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 10b10bd5d99740c59fa1883d","21sec 577ms","11:27:38 · 10 Sep, 23","0.76285472","0.72018529","0.74957642","0.69418801","True","False","10","64","default","0.57538208","0.65731913","0.50195326","0.52616329","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 63d70d5721b647c9beb9d2ba","10sec 133ms","11:27:28 · 10 Sep, 23","0.75694728","0.72100193","0.72505353","0.6704338","True","False","5","64","default","0.55260296","0.65887313","0.4985288","0.46964155","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 332778662d3742ebbfd3ad9b","7sec 354ms","11:27:20 · 10 Sep, 23","0.80422323","0.81317316","0.72911011","0.72145816","True","False","1","64","default","0.58885667","0.62696833","0.59942005","0.52361991","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 2e20a20181fb461685ebeb16","1min 14sec","11:26:05 · 10 Sep, 23","0.76546733","0.74404626","0.70057081","0.66044492","False","False","70","64","default","0.54783632","0.63119798","0.50335476","0.4960774","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: af6cfdb8e8094b3681724a64","1min 26sec","11:24:39 · 10 Sep, 23","0.7619377","0.74562151","0.71294484","0.68033964","False","False","60","64","default","0.56243886","0.64470863","0.50308128","0.51181819","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: ca1ddf67cbfb4b4ab791d24a","47sec 203ms","11:23:51 · 10 Sep, 23","0.76537985","0.76019662","0.71650931","0.67998019","False","False","50","64","default","0.56731874","0.64582222","0.49774264","0.50048386","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 467e2d596f6642829300d162","43sec 372ms","11:23:08 · 10 Sep, 23","0.76255818","0.74590987","0.71352038","0.66802672","False","False","40","64","default","0.54695986","0.65229114","0.50656309","0.51001786","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 70f60de1cbab4ecf850b1cd9","33sec 661ms","11:22:34 · 10 Sep, 23","0.77144123","0.74352582","0.71614367","0.67238868","False","False","30","64","default","0.55985178","0.66008901","0.50113522","0.49563157","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 4fb4c68dd20040689c5e8e41","26sec 666ms","11:22:07 · 10 Sep, 23","0.75522159","0.759198","0.7098139","0.68426594","False","False","20","64","default","0.5836195","0.63875674","0.51295056","0.51414312","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 845cd4369a6a4672a98cd244","16sec 83ms","11:21:51 · 10 Sep, 23","0.76285472","0.72018529","0.7213415","0.65252717","False","False","10","64","default","0.57538208","0.65731913","0.50195326","0.52616329","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 2f18d45d339e42e7b85c5063","9sec 768ms","11:21:41 · 10 Sep, 23","0.75694728","0.72100193","0.68528242","0.61758234","False","False","5","64","default","0.55260296","0.65887313","0.4985288","0.46964155","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 4273b9328c8841358a5d83fe","7sec 535ms","11:21:33 · 10 Sep, 23","0.80422323","0.81317316","0.69152338","0.60306545","False","False","1","64","default","0.58885667","0.62696833","0.59942005","0.52361991","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 2bcefd686c834b6bb08a96b7","1min 21sec","11:13:50 · 10 Sep, 23","0.75563189","0.72792273","0.70501825","0.66122256","False","True","70","64","default","0.54986998","0.64547739","0.50924606","0.50887024","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 26d9569298064a7880a497ea","1min 19sec","11:12:30 · 10 Sep, 23","0.74965618","0.73523187","0.6937618","0.65586265","False","True","60","64","default","0.56545221","0.64428099","0.49969162","0.49451943","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 470714c7dfcf4a578bd6dc00","1min 13sec","11:11:16 · 10 Sep, 23","0.7581334","0.72603767","0.71547276","0.66015346","False","True","50","64","default","0.54837428","0.64769978","0.50091053","0.48520749","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: d61bf2b1813d469e86dad2c5","43sec 786ms","11:10:33 · 10 Sep, 23","0.76566645","0.74328522","0.70866905","0.66759695","False","True","40","64","default","0.55998696","0.64797115","0.51785516","0.49157836","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: bde7143dd98b4a3aa783bce0","31sec 434ms","11:10:01 · 10 Sep, 23","0.75793187","0.73638509","0.69141999","0.65921793","False","True","30","64","default","0.55302902","0.64432776","0.50129638","0.50189225","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: cf0d58abcb27447da0649c23","31sec 398ms","11:09:29 · 10 Sep, 23","0.75943536","0.74259373","0.7056062","0.65905039","False","True","20","64","default","0.5486793","0.6428161","0.50934381","0.48751815","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: dbb6289d54f4434fb153f6a6","20sec 152ms","11:09:09 · 10 Sep, 23","0.77702548","0.75745707","0.73151358","0.66939877","False","True","10","64","default","0.56182754","0.65728935","0.51141721","0.51325823","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 98a70cd63d1845bea9b306f0","55sec 942ms","11:08:13 · 10 Sep, 23","0.75563189","0.72792273","0.70258507","0.65815552","False","False","70","64","default","0.54986998","0.64547739","0.50924606","0.50887024","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 155568f340844104932859bd","1min 27sec","11:06:45 · 10 Sep, 23","0.74965618","0.73523187","0.69578086","0.65766425","False","False","60","64","default","0.56545221","0.64428099","0.49969162","0.49451943","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 618e89d22f0646bbabed36c7","1min 14sec","11:05:31 · 10 Sep, 23","0.7581334","0.72603767","0.71123871","0.65838197","False","False","50","64","default","0.54837428","0.64769978","0.50091053","0.48520749","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 63bbc473d43f433f90ca4c63","58sec 479ms","11:04:32 · 10 Sep, 23","0.76566645","0.74328522","0.7145701","0.67111922","False","False","40","64","default","0.55998696","0.64797115","0.51785516","0.49157836","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 1046873a1a414bf28d9df10e","38sec 966ms","11:03:53 · 10 Sep, 23","0.75793187","0.73638509","0.70197434","0.66492732","False","False","30","64","default","0.55302902","0.64432776","0.50129638","0.50189225","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 87676e04006c4dd78a32787f","28sec 12ms","11:03:25 · 10 Sep, 23","0.75943536","0.74259373","0.7108527","0.66754173","False","False","20","64","default","0.5486793","0.6428161","0.50934381","0.48751815","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 801d6279b3534b7c8619809c","19sec 849ms","11:03:05 · 10 Sep, 23","0.77702548","0.75745707","0.73909204","0.67320779","False","False","10","64","default","0.56182754","0.65728935","0.51141721","0.51325823","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: cbe25bfacfcf4c6bbd9866d7","1min 16sec","10:56:57 · 10 Sep, 23","0.75793187","0.73638509","0.69988951","0.66644095","False","True","30","128","default","0.55302902","0.64432776","0.50129638","0.50189225","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: e443203011f544d9a84578ba","52sec 617ms","10:55:50 · 10 Sep, 23","0.75793187","0.73638509","0.70152948","0.66455314","False","False","30","128","default","0.55302902","0.64432776","0.50129638","0.50189225","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 18930015aac94ab49a7afcfa","41sec 923ms","10:46:12 · 10 Sep, 23","0.75793187","0.73638509","0.69554938","0.66242021","False","True","30","16","default","0.55302902","0.64432776","0.50129638","0.50189225","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 0f557c82a6dd48a2b767e45c","40sec 500ms","10:36:17 · 10 Sep, 23","0.75793187","0.73638509","0.69663025","0.66352212","False","True","30","16","default","0.55302902","0.64432776","0.50129638","0.50189225","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: eee30f6cb2d248e2add82ea0","31sec 221ms","10:35:12 · 10 Sep, 23","0.75793187","0.73638509","0.70232156","0.66428358","False","False","30","64","default","0.55302902","0.64432776","0.50129638","0.50189225","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: d0b177100c00441689fc2c2b","45sec 7ms","10:34:06 · 10 Sep, 23","0.75793187","0.73638509","0.69671862","0.66147739","False","True","30","64","default","0.55302902","0.64432776","0.50129638","0.50189225","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 8fd8207516ec4e42b4604b15","34sec 352ms","10:28:17 · 10 Sep, 23","0.75793187","0.73638509","0.73883365","0.71229931","True","True","30","64","default","0.55302902","0.64432776","0.50129638","0.50189225","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 1cb84abad087483fa8f3ce18","34sec 357ms","10:27:34 · 10 Sep, 23","0.75793187","0.73638509","0.73930078","0.71222915","True","False","30","64","default","0.55302902","0.64432776","0.50129638","0.50189225","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 1b598843ca6841889c331e89","41sec 281ms","10:26:41 · 10 Sep, 23","0.75793187","0.73638509","0.69724545","0.66182512","False","True","30","64","default","0.55302902","0.64432776","0.50129638","0.50189225","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 1cc5cbf083b543e382e2d27b","27sec 974ms","10:26:03 · 10 Sep, 23","0.75793187","0.73638509","0.70199597","0.66359431","False","False","30","64","default","0.55302902","0.64432776","0.50129638","0.50189225","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 08e7aabc043e473e919c25e4","31sec 706ms","10:21:26 · 10 Sep, 23","0.75793187","0.73638509","0.70275997","0.66427167","False","False","30","64","default","0.55302902","0.64432776","0.50129638","0.50189225","[10, 10]","[0.02, 0.1]","0.01","10","10","0.1","100"
"Run: 8becdd331eb24138b066869c","27sec 683ms","10:20:16 · 10 Sep, 23","0.75793187","0.73638509","0.70189501","0.66329993","False","False","30","64","default","0.55302902","0.64432776","0.50129638","0.50189225","[10, 10]","[0.02, 0.1]","0.1","10","10","0.1","100"
"Run: 3209b076fea14bedbf6252ae","5min 34sec","10:11:52 · 10 Sep, 23","0.75490739","0.72249284","0.7013535","0.64846421","False","True","30","64","default","0.54141673","0.64907004","0.49753468","0.50020371","[10, 10]","[0.02, 0.1]","""-""","10","10","0.1","""-"""
"Run: 6ec6e00df85a45cabd197e5f","6min 28sec","10:03:27 · 10 Sep, 23","0.75490739","0.72249284","0.73695248","0.70720068","True","False","30","64","default","0.54141673","0.64907004","0.49753468","0.50020371","[10, 10]","[0.02, 0.1]","""-""","10","10","0.1","""-"""
"Run: de6b5b8f5dad4905b3553814","5min 22sec","09:54:08 · 10 Sep, 23","0.75490739","0.72249284","0.70438583","0.65190034","False","False","30","64","default","0.54141673","0.64907004","0.49753468","0.50020371","[10, 10]","[0.02, 0.1]","""-""","10","10","0.1","""-"""
"Run: 69e415ed4dae4d348df7cff4","6min 34sec","09:20:02 · 10 Sep, 23","0.75490739","0.72249284","0.73841994","0.70726902","""-""","True","30","64","default","0.54141673","0.64907004","0.49753468","0.50020371","[10, 10]","[0.02, 0.1]","""-""","10","10","0.1","""-"""
"Run: 20dc42a512744d17a166e82f","12min 4sec","09:07:47 · 10 Sep, 23","0.75490739","0.72249284","0.74292643","0.7118243","""-""","False","30","64","default","0.54141673","0.64907004","0.49753468","0.50020371","[10, 10]","[0.02, 0.1]","""-""","10","10","0.1","""-"""
"Run: c98548b8bdaf47328393e604","13min 28sec","13:16:40 · 01 Sep, 23","0.76121032","0.74158873","0.73450896","0.71018648","""-""","True","10","512","default","0.54974574","0.63722426","0.48952126","0.49725317","[10, 10]","[0.02, 0.1]","""-""","10","10","0.1","""-"""
"Run: b95ee78c08404449941fff76","53min 26sec","12:11:54 · 01 Sep, 23","0.75490739","0.72249284","0.72953799","0.6962254","""-""","True","30","512","default","0.54141673","0.64907004","0.49753468","0.50020371","[10, 10]","[0.02, 0.1]","""-""","10","10","0.1","""-"""
"Run: 85a1daf9544e49aaa4a0cdf8","2min 54sec","11:56:08 · 01 Sep, 23","0.79194117","0.73146007","0.79209837","0.71995921","""-""","True","3","512","default","0.60319566","0.64863904","0.49808017","0.4934521","[2, 2]","[0.03, 0.3]","""-""","10","10","0.1","""-"""
"Run: 44d65121a0c849e49db01833","50min 52sec","09:46:10 · 01 Sep, 23","0.75490739","0.72249284","0.7174443","0.68251544","""-""","""-""","30","1024","default","0.54141673","0.64907004","0.49753468","0.50020371","[10, 10]","[0.02, 0.1]","""-""","10","10","0.1","""-"""
"Run: dc426ece0f714a44bce3b6b9","1hrs 22min","21:44:23 · 31 Aug, 23","0.75490739","0.72249284","0.74125306","0.70731988","""-""","""-""","30","""-""","default","0.54141673","0.64907004","0.49753468","0.50020371","[10, 10]","[0.02, 0.1]","""-""","10","10","0.1","""-"""
"Run: 7c7201355dec474dbec17e86","12min 24sec","21:31:31 · 31 Aug, 23","0.76121032","0.74158873","0.73228532","0.70808672","""-""","""-""","10","""-""","default","0.54974574","0.63722426","0.48952126","0.49725317","[10, 10]","[0.02, 0.1]","""-""","10","10","0.1","""-"""
"Run: 956d87fd46c54536a1fc9448","3min 7sec","21:27:24 · 31 Aug, 23","0.79194117","0.73146007","0.7922351","0.71805016","""-""","""-""","3","""-""","default","0.60319566","0.64863904","0.49808017","0.4934521","[2, 2]","[0.03, 0.3]","""-""","10","10","0.1","""-"""
"Run: dae0e523d2654d96b2a78d27","1min 21sec","21:24:11 · 31 Aug, 23","0.77212029","0.70377235","0.77208426","0.70788679","""-""","""-""","1","""-""","default","0.55314899","0.66984287","0.47339298","0.50132528","[1, 1]","[0.05, 0.5]","""-""","10","10","0.1","""-"""
"Run: 85ec2b25df594c32ad581113","14min 54sec","20:59:33 · 31 Aug, 23","0.74512518","0.66902134","0.73747797","0.64920344","""-""","""-""","30","""-""","default","0.53575558","0.67717675","0.49937074","0.50170617","[7, 2]","[0.1, 1]","""-""","10","10","0.1","""-"""
"Run: 897fe891665441e59ab5b216","26min 7sec","17:23:59 · 31 Aug, 23","0.76613131","0.71614365","0.75987124","0.69245439","""-""","""-""","10","""-""","default","0.57336208","0.65598233","0.50011811","0.50151251","[4, 2]","[0.1, 1]","""-""","10","10","0.1","""-"""
"Run: 899d4dfa72a24b69bb2abcc6","6min 59sec","17:15:57 · 31 Aug, 23","0.7770375","0.69724294","0.77287543","0.68873055","""-""","""-""","3","""-""","default","0.57918284","0.66439815","0.50032483","0.50559827","[4, 2]","[0.1, 1]","""-""","10","10","0.1","""-"""
"Run: 69e287a82ffd40a7bff7caac","2min 12sec","17:08:16 · 31 Aug, 23","0.77819065","0.6832556","0.77786655","0.6924514","""-""","""-""","1","""-""","default","0.55857354","0.65982843","0.5162284","0.49334837","[1, 1]","[0.1, 1]","""-""","10","10","0.1","""-"""
